"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
037264,3,,3,,88,,3,,82,,2,,73,,2,,82,,78,,232,,29,,
037265,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037269,2,,2,,83,,2,,78,,2,,74,,1,,74,,62,,89,,13,,
037271,2,,2,,81,,3,,79,,1,,69,,2,,78,,60,,114,,23,,
037273,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037274,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037280,5,,5,,91,,5,,89,,5,,87,,4,,88,,83,,164,,28,,
037281,4,,4,,91,,4,,86,,5,,86,,3,,85,,78,,211,,24,,
037282,3,,3,,87,,3,,81,,3,,78,,3,,83,,78,,108,,19,,
037285,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037286,Not Available,9,Not Available,9,88,9,Not Available,9,64,9,Not Available,9,83,9,Not Available,9,70,9,51,9,4,9,11,9,9
037288,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037290,3,11,3,11,89,11,4,11,87,11,2,11,74,11,3,11,86,11,81,11,64,11,16,11,11
037295,1,,1,,78,,1,,66,,1,,69,,1,,74,,60,,107,,17,,
037297,Not Available,11,Not Available,11,87,11,Not Available,11,78,11,Not Available,11,80,11,Not Available,11,88,11,84,11,23,11,9,11,11
037298,5,,5,,94,,5,,94,,5,,86,,5,,94,,87,,143,,23,,
037299,3,11,3,11,87,11,3,11,83,11,2,11,75,11,3,11,81,11,81,11,46,11,28,11,11
037402,4,,4,,90,,4,,85,,4,,83,,3,,85,,80,,335,,34,,
037403,4,,4,,89,,3,,83,,4,,83,,4,,87,,81,,152,,31,,
037404,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037405,3,11,3,11,89,11,4,11,89,11,3,11,78,11,3,11,84,11,74,11,58,11,15,11,11
037410,2,,2,,82,,2,,73,,1,,69,,1,,80,,65,,136,,17,,
037412,5,,5,,91,,5,,90,,5,,91,,4,,91,,85,,121,,33,,
037413,3,,2,,84,,3,,79,,3,,81,,2,,81,,76,,127,,40,,
037414,2,,2,,84,,3,,80,,2,,70,,2,,78,,69,,180,,15,,
037416,5,,5,,93,,5,,91,,5,,88,,5,,92,,86,,199,,30,,
037417,4,,5,,90,,5,,90,,3,,80,,4,,90,,80,,140,,22,,
037418,3,,3,,86,,3,,84,,2,,75,,3,,83,,82,,84,,16,,
037419,Not Available,11,Not Available,11,82,11,Not Available,11,81,11,Not Available,11,66,11,Not Available,11,72,11,63,11,30,11,25,11,11
037421,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037422,2,,2,,83,,2,,72,,1,,69,,1,,70,,66,,122,,12,,
037423,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037424,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
